,School Name,Overall Rating,Facilities,Reputation,Opportunities,Happiness,Location,Safety,Clubs,Social,Internet,Food
73,SUNY New Paltz,3.6,3.7,3.8,3.5,3.9,4.1,4.2,3.6,3.6,3.5,2.8
74,Marist College,4.0,4.5,4.2,4.2,4.3,3.8,4.1,3.9,3.8,3.5,3.0
75,Le Moyne College,3.3,3.4,4.0,3.5,3.6,3.2,3.6,3.3,3.3,2.7,2.7
76,SUNY Oneonta,3.8,4.1,3.7,3.6,4.1,3.4,4.3,3.9,4.0,3.4,3.1
77,University at Albany (SUNY Albany),3.5,3.4,3.5,3.7,3.7,3.6,3.3,3.7,3.7,3.0,2.8
78,Nazareth College,3.5,3.8,3.9,3.6,3.7,4.1,4.4,3.3,3.2,3.2,2.5
79,Ithaca College,3.8,3.8,4.0,4.0,4.2,4.0,4.3,4.0,3.8,3.0,3.0
80,Utica University,3.3,3.4,3.3,3.6,3.4,3.1,3.7,3.5,3.2,3.3,2.3
81,SUNY Oswego,3.7,3.8,3.6,3.7,4.0,3.5,4.1,3.9,3.9,3.0,3.4
82,SUNY Plattsburgh,3.6,3.6,3.4,3.4,3.9,3.5,3.7,3.7,3.7,3.4,2.9
83,SUNY Cortland,3.7,3.9,3.8,3.7,4.0,3.2,3.8,4.1,4.1,2.8,3.2
84,SUNY Maritime College,3.0,3.1,4.1,4.3,2.8,3.3,4.2,2.6,2.1,2.0,2.0
85,Canisius College,3.7,3.8,4.2,4.1,4.0,3.4,3.0,3.9,3.6,3.5,3.0
86,Hilbert College,3.4,3.2,3.8,3.9,4.0,3.8,4.5,3.0,3.0,3.3,2.7
87,SUNY Brockport,3.4,3.3,3.3,3.3,3.5,3.2,3.7,3.4,3.3,3.0,3.5
88,Daemen College,3.2,3.1,3.7,3.5,3.4,3.7,4.1,2.5,2.5,3.1,2.2
89,Siena College,3.8,4.1,4.2,4.2,4.0,4.0,4.5,3.8,3.7,3.1,2.9
90,Boricua College (all campuses),2.3,2.9,2.5,2.1,2.5,3.4,2.5,1.5,1.9,2.8,1.5
91,SUNY Delhi,3.2,3.1,3.3,3.3,3.3,2.8,3.1,3.5,3.1,2.8,2.6
92,SUNY Geneseo,3.7,3.9,4.3,3.5,3.9,3.3,4.4,3.7,3.6,3.2,2.9
93,Elmira College,3.1,4.0,3.0,3.1,3.2,2.5,2.9,3.2,2.9,2.6,2.6
94,Hartwick College,3.1,3.1,3.2,3.3,3.0,3.1,3.5,3.3,3.1,2.9,2.5
95,Yale University,4.1,4.2,4.5,4.2,4.1,3.5,3.6,4.0,4.0,4.1,3.9
96,Wesleyan University,4.2,4.3,4.7,4.1,4.3,3.5,4.0,4.2,4.1,3.7,4.3
97,Trinity College,3.6,3.9,4.1,3.9,3.9,2.8,2.8,3.4,3.8,3.2,2.9
98,University of Connecticut,3.9,4.0,4.2,3.9,4.0,3.0,4.1,4.1,3.9,3.4,3.4
99,Quinnipiac University,3.9,4.4,4.1,4.0,4.0,3.9,4.4,3.7,3.7,3.5,2.8
100,Sacred Heart University,3.8,4.1,3.9,3.8,3.9,3.5,4.1,3.8,3.6,3.6,3.3
101,University of New Haven,3.5,3.5,3.7,3.7,3.8,3.0,3.9,3.7,3.4,3.0,2.6
102,Albertus Magnus College,3.3,3.5,3.6,3.6,3.9,3.7,4.3,2.3,2.9,3.9,2.2
103,University of Hartford,3.2,3.1,3.2,3.4,3.4,3.3,3.2,3.4,3.2,3.3,2.9
104,University of Bridgeport,3.1,3.0,3.0,3.2,3.0,2.9,3.4,2.9,3.0,3.2,2.7
105,Mitchell College,2.7,2.7,2.6,2.7,3.6,3.2,3.8,2.4,2.4,2.2,2.0
106,Goodwin University,3.6,3.9,3.6,3.5,3.6,3.7,4.7,2.5,2.8,3.7,3.4
107,The College of Saint Rose,3.4,3.7,3.5,3.6,3.6,3.4,3.7,3.7,3.4,2.8,2.5
108,Paier College of Art,3.5,4.0,3.0,4.0,5.0,2.0,2.0,2.0,4.0,3.0,4.0
109,Princeton University,4.4,4.5,4.7,4.4,4.4,4.2,4.9,4.2,4.2,4.0,4.2
110,The College of New Jersey,3.7,3.9,4.2,3.9,3.8,3.2,4.0,3.6,3.3,3.0,3.0
111,Rowan University,3.6,3.7,3.6,3.7,3.9,3.5,3.7,3.7,3.8,2.8,3.1
112,Stockton University,3.7,4.0,3.7,3.7,4.0,3.9,4.2,3.7,3.5,3.4,3.0
113,Rider University,3.5,3.5,3.6,3.8,3.6,3.6,4.2,3.4,2.9,3.3,3.2
114,Ramapo College of New Jersey,3.3,3.7,3.5,3.4,3.4,3.7,3.7,3.2,2.8,3.3,2.8
115,Caldwell University,3.3,3.4,3.3,3.3,3.6,3.7,4.6,3.0,2.8,2.7,2.9
116,New Jersey City University,3.2,3.4,3.3,3.3,3.4,3.4,3.4,2.9,2.8,3.3,2.9
117,Centenary University,2.9,2.8,2.7,2.8,3.1,2.9,4.1,2.3,2.5,3.1,2.7
118,Cazenovia College,3.0,3.5,3.0,3.0,2.8,2.5,4.7,3.1,2.5,2.3,2.2
119,Felician University (all campuses),3.1,3.3,3.3,3.3,3.3,3.7,3.6,2.6,2.9,3.1,2.5
120,Saint Peter's University,3.2,2.9,3.4,3.5,3.5,3.4,3.5,3.5,3.2,2.5,2.7
121,Bloomfield College,2.9,2.9,3.1,3.0,2.7,3.4,3.9,2.7,2.5,2.6,2.3
122,Eastwick College,3.4,3.8,3.8,3.5,3.5,4.3,3.5,2.3,2.5,4.0,3.3
123,Berkeley College,3.0,3.0,3.0,3.0,3.3,3.3,3.4,2.4,2.7,3.3,2.7
124,Pillar College,3.6,3.4,4.3,3.7,4.3,3.9,4.0,2.9,3.6,4.4,2.7
125,Thomas Edison State University,3.1,3.1,3.4,3.3,3.5,3.7,3.7,2.4,2.5,3.6,2.8
